experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,sensordata,boxcox0,0.0,400,0.01,1.0,821940,0.0,0.0
ours-cpp,synthetic512m,variance,0.1,1000,0.277,0.9826,1944456,0.045,0.008
ours-cpp,synthetic16m,L22,0.0,200,0.014,1.0,697836,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.05,800,0.189,0.9862,3825696,0.034,0.007
ours-cpp,synthetic64m,minus,0.01,1200,0.063,0.9976,574584,0.004,0.001
ours-cpp,synthetic4m,L2,0.1,600,0.022,0.9825,162548,0.056,0.008
ours-cpp,synthetic16m,mean,0.0,800,0.14,1.0,607168,0.0,0.0
ours-cpp,nycdata,max,0.01,1200,0.139,0.9993,675268,0.001,0.0
ours-cpp,synthetic512m,mean,0.1,600,0.168,0.9869,1941920,0.062,0.006
ours-cpp,nycdata,variance,0.01,1200,0.174,0.9968,667944,0.004,0.001
ours-cpp,synthetic1b,L2LN,0.1,200,0.05,0.9783,3627652,0.062,0.013
ours-cpp,soccerdata,max,0.0,400,0.095,1.0,884236,0.0,0.0
ours-cpp,soccerdata,plus,0.0,1000,0.039,1.0,753044,0.0,0.0
ours-cpp,synthetic2m,L22,0.0,400,0.014,1.0,545048,0.0,0.0
ours-cpp,synthetic512m,multi,0.05,200,0.035,0.9941,2040888,0.013,0.003
ours-cpp,synthetic256m,L2,0.01,800,0.167,0.9969,1330800,0.007,0.001
ours-cpp,sensordata,L2LN,0.01,800,0.197,0.9942,803820,0.009,0.004
ours-cpp,soccerdata,divide,0.1,1200,0.055,0.9494,273068,0.089,0.041
ours-cpp,synthetic32m,multi,0.1,400,0.011,0.9693,308256,0.06,0.018
ours-cpp,synthetic16m,plus,0.0,800,0.04,1.0,538124,0.0,0.0
ours-cpp,synthetic1m,boxcox0,0.05,1000,0.006,1.0,179764,0.0,0.0
ours-cpp,synthetic32m,weightsum,0.1,400,0.031,0.9833,309468,0.056,0.008
ours-cpp,nycdata,multi,0.01,1000,0.042,0.9942,609744,0.009,0.003
ours-cpp,synthetic64m,variance,0.0,800,0.214,1.0,833132,0.0,0.0
ours-cpp,synthetic4m,minus,0.1,400,0.007,0.9547,112976,0.098,0.021
ours-cpp,synthetic64m,L22,0.01,1000,0.056,0.9989,685728,0.002,0.0
ours-cpp,synthetic64m,minus,0.01,200,0.011,0.9954,561716,0.01,0.002
ours-cpp,synthetic512m,mean,0.1,800,0.259,0.9863,1941920,0.058,0.006
ours-cpp,nycdata,variance,0.05,600,0.105,0.9952,475384,0.007,0.002
ours-cpp,stockdata,minus,0.05,1200,0.014,1.0,327428,0.0,0.0
ours-cpp,synthetic128m,divide,0.0,400,0.034,1.0,1032204,0.0,0.0
ours-cpp,soccerdata,variance,0.1,200,0.028,0.9987,283708,0.002,0.001
ours-cpp,synthetic4m,max,0.1,600,0.015,0.9897,155948,0.01,0.005
ours-cpp,soccerdata,max,0.05,600,0.049,0.9953,466824,0.011,0.004
ours-cpp,synthetic4m,weightsum,0.0,400,0.038,1.0,565116,0.0,0.0
ours-cpp,synthetic2m,boxcox0,0.0,600,0.007,1.0,412548,0.0,0.0
ours-cpp,synthetic32m,weightsum,0.1,800,0.064,0.9901,309468,0.034,0.004
ours-cpp,synthetic1m,divide,0.1,600,0.008,0.9878,117584,0.043,0.007
ours-cpp,synthetic256m,L2LN,0.01,200,0.043,0.9966,1368276,0.007,0.001
ours-cpp,nycdata,divide,0.0,600,0.036,1.0,826236,0.0,0.0
ours-cpp,soccerdata,divide,0.0,200,0.044,1.0,783924,0.0,0.0
ours-cpp,synthetic4m,mean,0.1,1200,0.04,0.9847,147500,0.054,0.007
ours-cpp,synthetic1b,boxcox0,0.1,400,0.017,1.0,3598040,0.0,0.0
ours-cpp,synthetic512m,multi,0.0,800,0.139,1.0,2504212,0.0,0.0
ours-cpp,synthetic1b,max,0.01,1000,0.296,0.9932,3982836,0.006,0.003
ours-cpp,synthetic16m,divide,0.01,400,0.015,0.9991,417240,0.002,0.0
ours-cpp,stockdata,minus,0.0,1200,0.015,1.0,589848,0.0,0.0
ours-cpp,sensordata,multi,0.1,800,0.045,0.933,490776,0.099,0.048
ours-cpp,synthetic64m,max,0.05,1000,0.119,0.9936,496612,0.006,0.003
ours-cpp,synthetic256m,L2LN,0.1,800,0.119,0.9891,1062236,0.021,0.006
ours-cpp,synthetic128m,max,0.0,400,0.069,1.0,1114812,0.0,0.0
ours-cpp,synthetic64m,plus,0.01,1000,0.055,0.9971,557784,0.007,0.001
ours-cpp,synthetic128m,weightsum,0.0,600,0.181,1.0,1157512,0.0,0.0
ours-cpp,synthetic2m,divide,0.05,1000,0.016,0.9873,219104,0.022,0.008
ours-cpp,synthetic128m,divide,0.0,1200,0.095,1.0,1047512,0.0,0.0
ours-cpp,synthetic64m,mean,0.1,400,0.061,0.9805,416208,0.087,0.01
ours-cpp,nycdata,boxcox0,0.05,200,0.004,1.0,413988,0.0,0.0
ours-cpp,synthetic256m,minus,0.1,800,0.064,0.976,1058528,0.051,0.009
ours-cpp,synthetic16m,func1,0.05,800,0.012,1.0,268468,0.0,0.0
ours-cpp,synthetic1m,weightsum,0.0,1000,0.046,1.0,501596,0.0,0.0
ours-cpp,synthetic1b,L22,0.1,800,0.091,0.961,3622196,0.081,0.021
ours-cpp,synthetic8m,plus,0.05,1200,0.036,0.9903,223112,0.019,0.004
ours-cpp,synthetic2m,L2LN,0.1,1000,0.029,0.9893,183708,0.033,0.005
ours-cpp,synthetic128m,max,0.01,1000,0.121,0.9921,897080,0.007,0.004
ours-cpp,synthetic4m,L22,0.1,1200,0.022,0.9775,185840,0.049,0.011
ours-cpp,soccerdata,divide,0.01,1000,0.073,0.9923,604864,0.01,0.005
ours-cpp,synthetic128m,func1,0.05,1000,0.033,1.0,638512,0.0,0.0
ours-cpp,sensordata,max,0.01,1200,0.141,1.0,748808,0.0,0.0
ours-cpp,synthetic8m,divide,0.01,200,0.006,0.9998,351144,0.001,0.0
ours-cpp,synthetic1b,weightsum,0.05,600,0.199,0.9884,3787492,0.021,0.005
ours-cpp,nycdata,weightsum,0.0,1000,0.196,1.0,948112,0.0,0.0
ours-cpp,synthetic128m,multi,0.01,600,0.041,0.9965,820704,0.006,0.001
ours-cpp,synthetic64m,L22,0.01,400,0.024,0.998,682048,0.003,0.001
ours-cpp,stockdata,mean,0.0,600,0.045,1.0,622728,0.0,0.0
ours-cpp,synthetic64m,minus,0.0,1000,0.079,1.0,745876,0.0,0.0
ours-cpp,synthetic32m,minus,0.05,1000,0.04,0.9831,321548,0.036,0.007
ours-cpp,synthetic64m,mean,0.05,800,0.106,0.9893,468504,0.019,0.004
ours-cpp,synthetic256m,minus,0.1,200,0.024,0.9893,1058528,0.02,0.004
ours-cpp,synthetic1b,weightsum,0.1,200,0.068,0.9863,3607684,0.03,0.007
ours-cpp,synthetic8m,weightsum,0.05,800,0.043,0.9897,290908,0.037,0.004
ours-cpp,synthetic2m,mean,0.05,1200,0.047,0.9901,237408,0.018,0.004
ours-cpp,synthetic2m,L2LN,0.05,800,0.028,0.9876,281072,0.032,0.006
ours-cpp,synthetic1m,L22,0.01,600,0.01,0.9959,367608,0.006,0.001
ours-cpp,synthetic32m,divide,0.01,1200,0.05,0.9997,468596,0.002,0.0
ours-cpp,synthetic8m,weightsum,0.0,400,0.048,1.0,591676,0.0,0.0
ours-cpp,synthetic1m,L2,0.05,600,0.016,0.9903,239636,0.025,0.004
ours-cpp,stockdata,func1,0.1,600,0.003,1.0,176496,0.0,0.0
ours-cpp,synthetic4m,weightsum,0.1,1000,0.037,0.987,175748,0.054,0.005
ours-cpp,synthetic256m,L2,0.05,600,0.166,0.9911,1157656,0.04,0.003
ours-cpp,stockdata,minus,0.01,1200,0.015,1.0,457252,0.0,0.0
ours-cpp,sensordata,plus,0.0,1200,0.159,1.0,846512,0.0,0.0
ours-cpp,synthetic128m,L2,0.0,800,0.217,1.0,1136044,0.0,0.0
ours-cpp,synthetic1m,multi,0.0,1000,0.02,1.0,419280,0.0,0.0
ours-cpp,soccerdata,max,0.01,600,0.055,0.9993,647680,0.004,0.001
ours-cpp,synthetic8m,L22,0.05,800,0.016,0.9893,297244,0.019,0.004
ours-cpp,synthetic256m,divide,0.05,200,0.011,0.9989,1110100,0.026,0.0
ours-cpp,synthetic8m,plus,0.1,1000,0.036,0.9893,170332,0.025,0.004
ours-cpp,synthetic16m,mean,0.01,600,0.054,0.9925,434936,0.009,0.003
ours-cpp,synthetic32m,divide,0.01,400,0.017,0.9996,456980,0.003,0.0
ours-cpp,stockdata,L2,0.05,800,0.037,0.9998,393416,0.0,0.0
ours-cpp,synthetic8m,max,0.1,600,0.047,0.9934,170332,0.006,0.003
ours-cpp,nycdata,weightsum,0.01,1200,0.184,0.9956,715092,0.005,0.002
ours-cpp,synthetic256m,mean,0.01,800,0.185,0.996,1285496,0.009,0.001
ours-cpp,synthetic16m,weightsum,0.01,800,0.073,0.9942,491672,0.009,0.002
ours-cpp,synthetic64m,L22,0.05,600,0.029,0.9826,523376,0.031,0.008
ours-cpp,synthetic512m,plus,0.0,800,0.145,1.0,2454812,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.0,600,0.311,1.0,4361352,0.0,0.0
ours-cpp,sensordata,divide,0.01,1000,0.052,0.9966,717464,0.004,0.002
ours-cpp,synthetic1m,divide,0.1,1200,0.016,0.99,122600,0.031,0.006
ours-cpp,synthetic128m,multi,0.05,600,0.043,0.9965,669608,0.006,0.001
ours-cpp,sensordata,L2LN,0.1,400,0.115,0.978,513324,0.056,0.017
ours-cpp,synthetic4m,L22,0.1,400,0.014,0.9946,182712,0.009,0.002
ours-cpp,synthetic4m,L22,0.05,1000,0.018,0.9758,293276,0.045,0.012
ours-cpp,synthetic4m,multi,0.01,200,0.006,0.9972,335504,0.004,0.001
ours-cpp,stockdata,max,0.1,1200,0.028,1.0,258952,0.0,0.0
ours-cpp,synthetic64m,L2,0.0,400,0.107,1.0,858636,0.0,0.0
ours-cpp,sensordata,weightsum,0.0,400,0.077,1.0,965948,0.0,0.0
ours-cpp,nycdata,mean,0.0,800,0.239,1.0,859384,0.0,0.0
ours-cpp,synthetic64m,variance,0.05,200,0.031,0.9872,477956,0.046,0.006
ours-cpp,soccerdata,weightsum,0.0,400,0.118,1.0,941252,0.0,0.0
ours-cpp,synthetic64m,variance,0.05,600,0.122,0.991,479596,0.018,0.004
ours-cpp,synthetic256m,minus,0.01,400,0.048,0.9897,1226604,0.006,0.002
ours-cpp,synthetic512m,minus,0.0,600,0.094,1.0,2473796,0.0,0.0
ours-cpp,sensordata,multi,0.05,400,0.034,0.9754,540844,0.035,0.017
ours-cpp,synthetic64m,divide,0.01,800,0.042,1.0,592508,0.0,0.0
ours-cpp,sensordata,func1,0.05,1200,0.028,1.0,527776,0.0,0.0
ours-cpp,synthetic16m,boxcox0,0.1,600,0.016,1.0,260236,0.0,0.0
ours-cpp,synthetic2m,variance,0.01,1200,0.062,0.9943,360424,0.006,0.002
ours-cpp,sensordata,L22,0.0,1200,0.158,1.0,1003556,0.0,0.0
ours-cpp,synthetic2m,variance,0.0,800,0.066,1.0,492080,0.0,0.0
ours-cpp,synthetic512m,divide,0.01,1200,0.126,0.9998,2276436,0.0,0.0
ours-cpp,synthetic4m,minus,0.05,200,0.006,0.9939,212460,0.012,0.002
ours-cpp,synthetic256m,weightsum,0.0,1200,0.403,1.0,1617732,0.0,0.0
ours-cpp,synthetic16m,L22,0.05,200,0.009,0.9951,354656,0.009,0.002
ours-cpp,synthetic128m,boxcox0,0.05,400,0.01,1.0,638512,0.0,0.0
ours-cpp,soccerdata,boxcox0,0.0,800,0.013,1.0,744332,0.0,0.0
ours-cpp,synthetic8m,divide,0.1,800,0.028,0.9951,170332,0.036,0.004
ours-cpp,synthetic512m,L22,0.1,1000,0.104,0.9869,1974956,0.025,0.006
ours-cpp,synthetic128m,mean,0.0,400,0.124,1.0,1052204,0.0,0.0
ours-cpp,synthetic2m,divide,0.05,600,0.01,0.9902,215936,0.038,0.006
ours-cpp,synthetic16m,boxcox0,0.0,1200,0.021,1.0,530204,0.0,0.0
ours-cpp,synthetic1b,minus,0.01,800,0.108,0.9964,3873964,0.005,0.001
ours-cpp,synthetic32m,max,0.05,400,0.029,0.9918,366284,0.008,0.004
ours-cpp,synthetic8m,divide,0.01,1000,0.025,0.9999,358536,0.0,0.0
ours-cpp,stockdata,plus,0.05,1000,0.013,1.0,316892,0.0,0.0
ours-cpp,synthetic1m,minus,0.05,200,0.003,0.9896,191056,0.019,0.004
ours-cpp,synthetic256m,minus,0.05,1000,0.076,0.9763,1096876,0.042,0.008
ours-cpp,synthetic128m,mean,0.05,800,0.187,0.985,702152,0.035,0.007
ours-cpp,synthetic16m,boxcox0,0.1,800,0.023,1.0,260236,0.0,0.0
ours-cpp,nycdata,max,0.1,400,0.05,0.9658,324840,0.088,0.043
ours-cpp,synthetic32m,plus,0.0,800,0.049,1.0,582140,0.0,0.0
ours-cpp,synthetic64m,multi,0.1,600,0.041,0.9721,415232,0.066,0.015
ours-cpp,synthetic64m,func1,0.05,400,0.009,1.0,416508,0.0,0.0
ours-cpp,nycdata,variance,0.1,800,0.113,0.996,310684,0.006,0.002
ours-cpp,sensordata,plus,0.01,1200,0.066,0.996,676796,0.004,0.002
ours-cpp,sensordata,divide,0.1,200,0.014,0.9912,494736,0.014,0.005
ours-cpp,synthetic4m,func1,0.05,600,0.006,1.0,197280,0.0,0.0
ours-cpp,synthetic2m,func1,0.05,1200,0.01,1.0,186876,0.0,0.0
ours-cpp,synthetic64m,divide,0.1,1000,0.068,0.9996,415232,0.014,0.0
ours-cpp,synthetic2m,variance,0.0,400,0.037,1.0,487100,0.0,0.0
ours-cpp,synthetic512m,divide,0.01,200,0.028,0.9998,2259176,0.001,0.0
ours-cpp,soccerdata,boxcox0,0.01,600,0.018,1.0,558320,0.0,0.0
ours-cpp,synthetic128m,divide,0.01,200,0.015,0.9989,834528,0.002,0.001
ours-cpp,synthetic256m,mean,0.01,1200,0.253,0.9955,1298912,0.009,0.002
ours-cpp,synthetic2m,boxcox0,0.01,1200,0.01,1.0,291104,0.0,0.0
ours-cpp,synthetic16m,weightsum,0.05,1200,0.073,0.9884,354392,0.031,0.005
ours-cpp,synthetic512m,multi,0.1,1200,0.09,0.9784,1940268,0.046,0.01
ours-cpp,synthetic64m,L22,0.0,400,0.036,1.0,910660,0.0,0.0
ours-cpp,synthetic32m,L2,0.1,200,0.015,0.9862,309468,0.062,0.007
ours-cpp,synthetic4m,variance,0.0,800,0.078,1.0,526260,0.0,0.0
ours-cpp,synthetic32m,L22,0.1,200,0.008,0.9825,309468,0.037,0.009
ours-cpp,synthetic128m,variance,0.0,200,0.067,1.0,1089064,0.0,0.0
ours-cpp,synthetic256m,mean,0.1,1200,0.378,0.9919,1058892,0.036,0.003
ours-cpp,synthetic8m,L22,0.05,200,0.005,0.9814,297244,0.044,0.01
ours-cpp,stockdata,multi,0.0,400,0.006,1.0,590640,0.0,0.0
ours-cpp,synthetic4m,divide,0.1,600,0.01,0.986,130340,0.027,0.01
ours-cpp,synthetic64m,minus,0.05,200,0.012,0.9954,429832,0.01,0.002
ours-cpp,synthetic16m,func1,0.1,400,0.014,1.0,260236,0.0,0.0
ours-cpp,synthetic32m,boxcox0,0.0,200,0.004,1.0,570196,0.0,0.0
ours-cpp,synthetic8m,L2,0.1,800,0.066,0.9922,177572,0.031,0.003
ours-cpp,sensordata,minus,0.05,1000,0.071,0.9979,535280,0.004,0.001
ours-cpp,synthetic256m,variance,0.0,600,0.206,1.0,1525060,0.0,0.0
ours-cpp,synthetic16m,divide,0.01,600,0.021,0.9992,418028,0.001,0.0
ours-cpp,nycdata,func1,0.01,200,0.01,1.0,592324,0.0,0.0
ours-cpp,synthetic256m,variance,0.1,600,0.15,0.9882,1060772,0.036,0.005
ours-cpp,synthetic16m,L2LN,0.01,1200,0.107,0.9952,525980,0.007,0.002
ours-cpp,synthetic8m,minus,0.01,1200,0.032,0.9972,340320,0.004,0.001
ours-cpp,synthetic32m,L2,0.05,1000,0.081,0.9891,380424,0.028,0.005
ours-cpp,synthetic16m,L2,0.1,800,0.055,0.9897,268468,0.037,0.004
ours-cpp,synthetic4m,func1,0.0,600,0.008,1.0,440232,0.0,0.0
ours-cpp,synthetic1m,minus,0.01,1000,0.014,0.9961,291600,0.004,0.001
ours-cpp,soccerdata,func1,0.0,1200,0.02,1.0,744068,0.0,0.0
ours-cpp,synthetic128m,L2LN,0.1,600,0.169,0.9797,636516,0.046,0.01
ours-cpp,soccerdata,L2,0.05,400,0.046,0.9967,473420,0.008,0.002
ours-cpp,synthetic512m,variance,0.05,1000,0.35,0.9826,2112704,0.045,0.008
ours-cpp,synthetic1b,plus,0.05,800,0.104,0.9905,3664884,0.018,0.004
ours-cpp,nycdata,minus,0.01,800,0.026,0.9955,601300,0.006,0.002
ours-cpp,sensordata,max,0.0,600,0.1,1.0,950060,0.0,0.0
ours-cpp,synthetic1b,mean,0.05,800,0.215,0.9844,3732244,0.05,0.007
ours-cpp,synthetic512m,weightsum,0.05,600,0.17,0.9871,2147556,0.048,0.005
ours-cpp,sensordata,L2,0.05,200,0.026,0.9998,594168,0.0,0.0
ours-cpp,stockdata,multi,0.1,600,0.007,1.0,202192,0.0,0.0
ours-cpp,synthetic32m,divide,0.05,1000,0.041,0.9985,337620,0.034,0.001
ours-cpp,stockdata,variance,0.1,200,0.012,1.0,244960,0.0,0.0
ours-cpp,soccerdata,mean,0.01,1200,0.127,0.9961,633464,0.009,0.002
ours-cpp,synthetic16m,plus,0.1,400,0.022,0.992,261636,0.015,0.003
ours-cpp,synthetic128m,func1,0.0,200,0.008,1.0,966976,0.0,0.0
ours-cpp,synthetic4m,L2LN,0.0,1000,0.089,1.0,605496,0.0,0.0
ours-cpp,synthetic1m,minus,0.0,400,0.01,1.0,402428,0.0,0.0
ours-cpp,synthetic1b,L2LN,0.05,400,0.116,0.9818,3817908,0.047,0.01
ours-cpp,synthetic256m,multi,0.1,800,0.061,0.9802,1058528,0.045,0.01
ours-cpp,synthetic4m,boxcox0,0.01,400,0.004,1.0,307528,0.0,0.0
ours-cpp,nycdata,weightsum,0.01,200,0.047,0.9931,698200,0.008,0.004
ours-cpp,synthetic8m,variance,0.0,400,0.05,1.0,542636,0.0,0.0
ours-cpp,synthetic1b,weightsum,0.01,1200,0.41,0.9938,4032180,0.009,0.002
ours-cpp,synthetic4m,variance,0.1,1000,0.032,0.9873,152516,0.038,0.005
ours-cpp,synthetic1m,plus,0.01,800,0.01,0.9948,280776,0.009,0.002
ours-cpp,nycdata,plus,0.01,400,0.018,0.9931,592324,0.01,0.004
ours-cpp,synthetic128m,weightsum,0.01,1000,0.19,0.9939,931120,0.008,0.002
ours-cpp,stockdata,L2,0.05,1000,0.045,0.9999,398140,0.0,0.0
ours-cpp,synthetic128m,weightsum,0.1,600,0.154,0.9863,636344,0.056,0.006
ours-cpp,synthetic1b,L2,0.0,1200,0.664,1.0,4303848,0.0,0.0
ours-cpp,stockdata,func1,0.0,1200,0.008,1.0,574008,0.0,0.0
ours-cpp,synthetic16m,divide,0.01,1000,0.036,0.9994,424812,0.001,0.0
ours-cpp,synthetic8m,L22,0.05,1000,0.02,0.9898,298564,0.017,0.004
ours-cpp,stockdata,variance,0.05,400,0.02,1.0,371296,0.0,0.0
ours-cpp,synthetic512m,L2,0.01,400,0.171,0.9947,2346728,0.009,0.002
ours-cpp,synthetic256m,weightsum,0.0,400,0.151,1.0,1592712,0.0,0.0
ours-cpp,synthetic32m,max,0.1,800,0.083,0.9937,309468,0.006,0.003
ours-cpp,synthetic8m,L2,0.0,1000,0.114,1.0,583756,0.0,0.0
ours-cpp,synthetic32m,L2,0.05,400,0.036,0.9899,371828,0.042,0.004
ours-cpp,nycdata,plus,0.01,1200,0.042,0.9931,597868,0.008,0.004
ours-cpp,synthetic1b,minus,0.0,1000,0.191,1.0,4118232,0.0,0.0
ours-cpp,synthetic8m,max,0.1,1000,0.076,0.9947,170332,0.004,0.002
ours-cpp,synthetic2m,mean,0.1,400,0.014,0.9796,129632,0.091,0.01
ours-cpp,synthetic256m,weightsum,0.0,1000,0.349,1.0,1608120,0.0,0.0
ours-cpp,synthetic2m,L2,0.05,400,0.018,0.9901,252044,0.022,0.004
ours-cpp,synthetic2m,plus,0.1,200,0.016,0.9908,108284,0.029,0.004
ours-cpp,synthetic128m,L2,0.05,800,0.122,0.9855,738908,0.047,0.006
ours-cpp,nycdata,boxcox0,0.05,800,0.012,1.0,413988,0.0,0.0
ours-cpp,soccerdata,variance,0.0,400,0.057,1.0,867228,0.0,0.0
ours-cpp,synthetic8m,func1,0.01,600,0.008,1.0,313408,0.0,0.0
ours-cpp,synthetic4m,divide,0.1,1000,0.017,0.9911,133772,0.035,0.006
ours-cpp,synthetic16m,boxcox0,0.05,1000,0.014,1.0,268468,0.0,0.0
ours-cpp,synthetic16m,func1,0.0,1000,0.018,1.0,526244,0.0,0.0
ours-cpp,synthetic128m,variance,0.05,400,0.096,0.9869,714704,0.023,0.006
ours-cpp,synthetic32m,minus,0.0,600,0.037,1.0,594788,0.0,0.0
ours-cpp,synthetic32m,divide,0.0,800,0.046,1.0,630140,0.0,0.0
ours-cpp,synthetic256m,divide,0.1,800,0.048,0.9982,1058528,0.017,0.001
ours-cpp,synthetic64m,mean,0.01,1000,0.142,0.9935,620620,0.009,0.002
ours-cpp,synthetic4m,func1,0.01,600,0.008,1.0,307000,0.0,0.0
ours-cpp,synthetic4m,weightsum,0.05,400,0.02,0.9894,280852,0.02,0.004
ours-cpp,synthetic128m,L2LN,0.0,1000,0.268,1.0,1213136,0.0,0.0
ours-cpp,synthetic1m,multi,0.0,200,0.005,1.0,412696,0.0,0.0
ours-cpp,synthetic64m,boxcox0,0.01,1000,0.023,1.0,545272,0.0,0.0
ours-cpp,synthetic1b,multi,0.05,600,0.065,0.9867,3693332,0.029,0.006
ours-cpp,synthetic16m,multi,0.1,600,0.018,0.9582,261636,0.089,0.023
ours-cpp,synthetic64m,plus,0.0,1000,0.075,1.0,727408,0.0,0.0
ours-cpp,stockdata,L22,0.01,400,0.007,1.0,546876,0.0,0.0
ours-cpp,synthetic2m,multi,0.01,200,0.005,0.9965,314040,0.008,0.001
ours-cpp,synthetic128m,mean,0.1,200,0.064,0.9807,632692,0.052,0.01
ours-cpp,synthetic2m,boxcox0,0.01,400,0.004,1.0,287408,0.0,0.0
ours-cpp,synthetic4m,func1,0.01,1000,0.009,1.0,307000,0.0,0.0
ours-cpp,synthetic2m,plus,0.0,400,0.014,1.0,417036,0.0,0.0
ours-cpp,stockdata,variance,0.0,200,0.014,1.0,640692,0.0,0.0
ours-cpp,soccerdata,boxcox0,0.0,600,0.01,1.0,744068,0.0,0.0
ours-cpp,synthetic256m,plus,0.0,1200,0.128,1.0,1418268,0.0,0.0
ours-cpp,synthetic512m,mean,0.05,800,0.336,0.9888,2089108,0.021,0.005
ours-cpp,sensordata,L2LN,0.0,400,0.288,1.0,1019920,0.0,0.0
ours-cpp,synthetic16m,max,0.01,800,0.058,0.9907,467012,0.009,0.004
ours-cpp,synthetic512m,L2LN,0.05,600,0.13,0.9874,2175252,0.024,0.006
ours-cpp,synthetic1m,max,0.1,400,0.009,0.9811,143396,0.021,0.01
ours-cpp,synthetic128m,multi,0.0,800,0.07,1.0,1021392,0.0,0.0
ours-cpp,synthetic1m,func1,0.0,600,0.005,1.0,386212,0.0,0.0
ours-cpp,synthetic64m,mean,0.0,400,0.105,1.0,787300,0.0,0.0
ours-cpp,sensordata,minus,0.01,800,0.043,0.998,682668,0.004,0.001
ours-cpp,synthetic4m,divide,0.0,1200,0.034,1.0,493212,0.0,0.0
ours-cpp,synthetic256m,L22,0.05,1200,0.115,0.9832,1186464,0.029,0.008
ours-cpp,synthetic256m,max,0.05,600,0.164,0.9929,1148884,0.007,0.003
ours-cpp,stockdata,max,0.1,400,0.01,1.0,253144,0.0,0.0
ours-cpp,synthetic64m,max,0.01,600,0.068,0.9924,645592,0.007,0.003
ours-cpp,stockdata,L2,0.01,400,0.019,0.9998,516388,0.0,0.0
ours-cpp,synthetic256m,mean,0.1,200,0.065,0.9844,1058892,0.089,0.008
ours-cpp,synthetic512m,L2,0.05,400,0.154,0.9892,2129072,0.028,0.005
ours-cpp,sensordata,multi,0.1,400,0.028,0.9512,487872,0.067,0.033
ours-cpp,synthetic8m,variance,0.05,200,0.014,0.9913,260540,0.024,0.004
ours-cpp,synthetic4m,mean,0.01,1000,0.055,0.9934,369824,0.008,0.002
ours-cpp,synthetic4m,boxcox0,0.01,600,0.005,1.0,307792,0.0,0.0
ours-cpp,synthetic8m,minus,0.0,600,0.024,1.0,473476,0.0,0.0
ours-cpp,synthetic256m,mean,0.05,800,0.125,0.9904,1128344,0.044,0.004
ours-cpp,synthetic256m,func1,0.05,200,0.007,1.0,1070452,0.0,0.0
ours-cpp,synthetic4m,func1,0.01,400,0.005,1.0,307000,0.0,0.0
ours-cpp,synthetic512m,minus,0.01,800,0.141,0.9883,2229412,0.009,0.002
ours-cpp,synthetic512m,divide,0.0,1200,0.164,1.0,2540824,0.0,0.0
ours-cpp,synthetic256m,boxcox0,0.0,1000,0.031,1.0,1393572,0.0,0.0
ours-cpp,synthetic8m,divide,0.01,600,0.016,0.9999,352200,0.0,0.0
ours-cpp,synthetic128m,variance,0.01,600,0.117,0.9923,878876,0.01,0.003
ours-cpp,synthetic32m,L2LN,0.05,1200,0.107,0.9895,410512,0.015,0.003
ours-cpp,synthetic128m,boxcox0,0.05,800,0.022,1.0,640360,0.0,0.0
ours-cpp,soccerdata,max,0.1,400,0.034,0.9948,297432,0.012,0.004
ours-cpp,synthetic128m,max,0.0,600,0.098,1.0,1115332,0.0,0.0
ours-cpp,synthetic4m,divide,0.0,200,0.007,1.0,482920,0.0,0.0
ours-cpp,stockdata,boxcox0,0.1,200,0.001,1.0,176496,0.0,0.0
ours-cpp,synthetic1m,mean,0.0,200,0.016,1.0,432892,0.0,0.0
ours-cpp,synthetic64m,multi,0.01,800,0.041,0.9965,579592,0.006,0.001
ours-cpp,synthetic16m,L2LN,0.01,600,0.051,0.9946,512252,0.009,0.002
ours-cpp,synthetic128m,mean,0.01,600,0.121,0.993,855924,0.009,0.003
ours-cpp,synthetic2m,weightsum,0.01,800,0.038,0.9953,382560,0.006,0.002
ours-cpp,synthetic2m,weightsum,0.1,800,0.035,0.9795,163680,0.068,0.01
ours-cpp,synthetic1b,plus,0.01,1200,0.145,0.9979,3865416,0.003,0.001
ours-cpp,stockdata,minus,0.1,1000,0.011,1.0,195856,0.0,0.0
ours-cpp,soccerdata,max,0.05,1000,0.066,0.9953,468936,0.011,0.004
ours-cpp,stockdata,divide,0.0,400,0.013,1.0,599880,0.0,0.0
ours-cpp,synthetic256m,plus,0.0,400,0.054,1.0,1398644,0.0,0.0
ours-cpp,synthetic128m,mean,0.05,200,0.074,0.9868,691864,0.026,0.006
ours-cpp,synthetic4m,divide,0.05,200,0.005,0.9998,231676,0.001,0.0
ours-cpp,synthetic128m,minus,0.05,600,0.042,0.9838,657928,0.015,0.004
ours-cpp,sensordata,plus,0.1,1200,0.063,0.9669,479952,0.045,0.022
ours-cpp,sensordata,plus,0.0,800,0.124,1.0,831456,0.0,0.0
ours-cpp,synthetic2m,max,0.1,600,0.014,0.9894,147320,0.011,0.005
ours-cpp,sensordata,max,0.0,200,0.038,1.0,950060,0.0,0.0
ours-cpp,synthetic32m,divide,0.05,800,0.032,0.9953,335244,0.033,0.003
ours-cpp,synthetic256m,weightsum,0.05,400,0.124,0.9926,1170852,0.022,0.003
