experiment,table,function,errorbound,width,time,ssim,memory(kb),estimateerrorbound,pixerror
ours-cpp,synthetic1m,divide,0.05,1200,0.01,0.99,210092,0.031,0.006
ours-cpp,synthetic128m,boxcox0,0.01,800,0.02,1.0,784140,0.0,0.0
ours-cpp,sensordata,func1,0.01,400,0.011,1.0,661340,0.0,0.0
ours-cpp,soccerdata,mean,0.1,200,0.029,0.9939,273068,0.013,0.004
ours-cpp,synthetic8m,L2LN,0.1,400,0.037,0.9929,197372,0.023,0.003
ours-cpp,synthetic8m,max,0.05,1200,0.047,0.9949,277512,0.004,0.002
ours-cpp,sensordata,L22,0.05,400,0.036,0.9844,616916,0.022,0.01
ours-cpp,synthetic256m,divide,0.01,800,0.064,0.9999,1259236,0.0,0.0
ours-cpp,synthetic8m,L2,0.1,600,0.051,0.9916,174932,0.035,0.003
ours-cpp,synthetic2m,minus,0.0,1200,0.037,1.0,440684,0.0,0.0
ours-cpp,synthetic16m,plus,0.05,1000,0.036,0.9943,271260,0.01,0.002
ours-cpp,stockdata,multi,0.01,200,0.003,1.0,458044,0.0,0.0
ours-cpp,synthetic32m,func1,0.05,400,0.008,1.0,309468,0.0,0.0
ours-cpp,synthetic256m,weightsum,0.05,1200,0.237,0.9908,1181476,0.034,0.004
ours-cpp,synthetic1m,variance,0.01,600,0.026,0.9924,327492,0.009,0.003
ours-cpp,synthetic128m,plus,0.0,1000,0.097,1.0,987988,0.0,0.0
ours-cpp,synthetic16m,L2,0.0,800,0.121,1.0,662460,0.0,0.0
ours-cpp,synthetic1b,mean,0.01,400,0.164,0.9947,3924984,0.007,0.002
ours-cpp,synthetic32m,minus,0.0,400,0.025,1.0,592152,0.0,0.0
ours-cpp,sensordata,variance,0.1,1000,0.129,0.9999,501188,0.0,0.0
ours-cpp,synthetic64m,mean,0.01,800,0.144,0.9945,615384,0.007,0.002
ours-cpp,synthetic256m,L22,0.01,600,0.051,0.9978,1361060,0.006,0.001
ours-cpp,synthetic1b,weightsum,0.1,1200,0.234,0.9849,3621252,0.053,0.007
ours-cpp,synthetic8m,multi,0.0,1200,0.042,1.0,498268,0.0,0.0
ours-cpp,synthetic1b,minus,0.05,600,0.068,0.9919,3677440,0.018,0.003
ours-cpp,synthetic1m,max,0.1,800,0.016,0.9861,143396,0.015,0.007
ours-cpp,stockdata,plus,0.1,200,0.012,1.0,180076,0.0,0.0
ours-cpp,synthetic4m,multi,0.0,800,0.026,1.0,475004,0.0,0.0
ours-cpp,synthetic512m,mean,0.0,400,0.237,1.0,2547700,0.0,0.0
ours-cpp,synthetic1b,L22,0.0,400,0.089,1.0,4336824,0.0,0.0
ours-cpp,synthetic128m,func1,0.05,1200,0.035,1.0,638512,0.0,0.0
