data,function,width,errorbound,ssim
sensordata,boxcox0,1000,0.05,1.0
sensordata,boxcox0,1000,0.1,1.0
sensordata,boxcox0,1000,1e-08,1.0
sensordata,boxcox0,1200,0.0001,1.0
sensordata,boxcox0,1200,0.01,1.0
sensordata,boxcox0,1200,0.05,1.0
sensordata,boxcox0,1200,0.1,1.0
sensordata,boxcox0,1200,1e-08,1.0
sensordata,boxcox0,200,0.0001,1.0
sensordata,boxcox0,200,0.01,1.0
sensordata,boxcox0,200,0.05,1.0
sensordata,boxcox0,200,0.1,1.0
sensordata,boxcox0,200,1e-08,1.0
sensordata,boxcox0,400,0.0001,1.0
sensordata,boxcox0,400,0.01,1.0
sensordata,boxcox0,400,0.05,1.0
sensordata,boxcox0,400,0.1,1.0
sensordata,boxcox0,400,1e-08,1.0
sensordata,boxcox0,600,0.0001,1.0
sensordata,boxcox0,600,0.01,1.0
sensordata,boxcox0,600,0.05,1.0
sensordata,boxcox0,600,0.1,1.0
sensordata,boxcox0,600,1e-08,1.0
sensordata,boxcox0,800,0.0001,1.0
sensordata,boxcox0,800,0.01,1.0
sensordata,boxcox0,800,0.05,1.0
sensordata,boxcox0,800,0.1,1.0
sensordata,boxcox0,800,1e-08,1.0
sensordata,devide,1000,0.0001,1.0
sensordata,devide,1000,0.01,0.9966
sensordata,devide,1000,0.05,0.9966
sensordata,devide,1000,0.1,0.9966
sensordata,devide,1000,1e-08,1.0
sensordata,devide,1200,0.0001,1.0
sensordata,devide,1200,0.01,0.9969
sensordata,devide,1200,0.05,0.9969
sensordata,devide,1200,0.1,0.9969
sensordata,devide,1200,1e-08,1.0
sensordata,devide,200,0.0001,1.0
sensordata,devide,200,0.01,0.9992
sensordata,devide,200,0.05,0.9912
sensordata,devide,200,0.1,0.9912
sensordata,devide,200,1e-08,1.0
sensordata,devide,400,0.0001,0.9999
sensordata,devide,400,0.01,0.9962
sensordata,devide,400,0.05,0.9962
sensordata,devide,400,0.1,0.9962
sensordata,devide,400,1e-08,1.0
sensordata,devide,600,0.0001,1.0
sensordata,devide,600,0.01,0.9965
sensordata,devide,600,0.05,0.9965
sensordata,devide,600,0.1,0.9965
sensordata,devide,600,1e-08,1.0
sensordata,devide,800,0.0001,0.9999
sensordata,devide,800,0.01,0.9963
sensordata,devide,800,0.05,0.9963
sensordata,devide,800,0.1,0.9963
sensordata,devide,800,1e-08,1.0
sensordata,func1,1000,0.0001,1.0
sensordata,func1,1000,0.01,1.0
sensordata,func1,1000,0.05,1.0
sensordata,func1,1000,0.1,1.0
sensordata,func1,1000,1e-08,1.0
sensordata,func1,1200,0.0001,1.0
sensordata,func1,1200,0.01,1.0
sensordata,func1,1200,0.05,1.0
sensordata,func1,1200,0.1,1.0
sensordata,func1,1200,1e-08,1.0
sensordata,func1,200,0.0001,1.0
sensordata,func1,200,0.01,1.0
sensordata,func1,200,0.05,1.0
sensordata,func1,200,0.1,1.0
sensordata,func1,200,1e-08,1.0
sensordata,func1,400,0.0001,1.0
sensordata,func1,400,0.01,1.0
sensordata,func1,400,0.05,1.0
sensordata,func1,400,0.1,1.0
sensordata,func1,400,1e-08,1.0
sensordata,func1,600,0.0001,1.0
sensordata,func1,600,0.01,1.0
sensordata,func1,600,0.05,1.0
sensordata,func1,600,0.1,1.0
sensordata,func1,600,1e-08,1.0
sensordata,func1,800,0.0001,1.0
sensordata,func1,800,0.01,1.0
sensordata,func1,800,0.05,1.0
sensordata,func1,800,0.1,1.0
sensordata,func1,800,1e-08,1.0
sensordata,L2,1000,0.0001,1.0
sensordata,L2,1000,0.01,1.0
sensordata,L2,1000,0.05,1.0
