table,function,metric,ssim,estimateerrorbound,pixerror
synthetic128m,func1,ee,1.0,0.0,0.0
synthetic128m,L2,ee,0.9926,0.019,0.003
synthetic128m,L22,ee,0.995,0.005,0.002
synthetic128m,L2LN,ee,0.9637,0.046,0.028
synthetic128m,max,ee,0.9843,0.01,0.009
synthetic128m,mean,ee,0.9862,0.038,0.006
synthetic128m,minus,ee,0.9885,0.015,0.004
synthetic128m,multi,ee,0.9945,0.006,0.002
synthetic128m,plus,ee,0.9892,0.013,0.005
synthetic128m,variance,ee,0.9879,0.019,0.006
synthetic128m,weightsum,ee,0.9922,0.019,0.003
synthetic16m,boxcox0,ee,1.0,0.0,0.0
synthetic16m,divide,ee,0.9988,0.001,0.001
synthetic16m,func1,ee,1.0,0.0,0.0
synthetic16m,L2,ee,0.9763,0.043,0.015
synthetic16m,L22,ee,0.9954,0.005,0.002
synthetic16m,L2LN,ee,0.9729,0.037,0.019
synthetic16m,max,ee,0.9828,0.011,0.01
synthetic16m,mean,ee,0.9918,0.018,0.004
synthetic16m,minus,ee,0.9753,0.017,0.009
synthetic16m,multi,ee,0.9943,0.009,0.003
synthetic16m,plus,ee,0.9886,0.012,0.005
synthetic16m,variance,ee,0.9872,0.032,0.006
synthetic16m,weightsum,ee,0.9726,0.041,0.017
synthetic1b,boxcox0,ee,1.0,0.0,0.0
synthetic1b,divide,ee,0.9856,0.026,0.011
synthetic1b,func1,ee,1.0,0.0,0.0
synthetic1b,L2,ee,0.9783,0.033,0.013
synthetic1b,L22,ee,0.9938,0.007,0.003
synthetic1b,L2LN,ee,0.9704,0.039,0.023
synthetic1b,max,ee,0.9869,0.008,0.008
synthetic1b,mean,ee,0.9862,0.025,0.006
synthetic1b,minus,ee,0.9792,0.018,0.007
synthetic1b,multi,ee,0.9858,0.029,0.006
synthetic1b,plus,ee,0.9806,0.019,0.009
synthetic1b,variance,ee,0.9902,0.019,0.005
synthetic1b,weightsum,ee,0.9912,0.021,0.004
synthetic1m,boxcox0,ee,1.0,0.0,0.0
synthetic1m,divide,ee,0.9689,0.043,0.026
synthetic1m,func1,ee,1.0,0.0,0.0
synthetic1m,L2,ee,0.9855,0.025,0.006
synthetic1m,L22,ee,0.9939,0.006,0.003
synthetic1m,L2LN,ee,0.9694,0.047,0.021
synthetic1m,max,ee,0.9762,0.016,0.015
synthetic1m,mean,ee,0.9892,0.031,0.005
synthetic1m,minus,ee,0.9893,0.013,0.005
synthetic1m,multi,ee,0.9619,0.041,0.024
synthetic1m,plus,ee,0.9895,0.011,0.005
synthetic1m,variance,ee,0.9828,0.046,0.009
synthetic1m,weightsum,ee,0.9903,0.018,0.004
synthetic256m,boxcox0,ee,1.0,0.0,0.0
synthetic256m,divide,ee,0.9859,0.02,0.011
synthetic256m,func1,ee,1.0,0.0,0.0
synthetic256m,L2,ee,0.9794,0.04,0.013
synthetic256m,L22,ee,0.972,0.039,0.018
synthetic256m,L2LN,ee,0.9785,0.025,0.015
synthetic256m,max,ee,0.9887,0.007,0.007
synthetic256m,mean,ee,0.9781,0.047,0.014
synthetic256m,minus,ee,0.9844,0.011,0.005
synthetic256m,multi,ee,0.9681,0.043,0.021
synthetic256m,plus,ee,0.9743,0.036,0.016
synthetic256m,variance,ee,0.9738,0.036,0.016
synthetic256m,weightsum,ee,0.9718,0.046,0.018
synthetic2m,boxcox0,ee,1.0,0.0,0.0
synthetic2m,divide,ee,0.9724,0.038,0.024
synthetic2m,func1,ee,1.0,0.0,0.0
synthetic2m,L2,ee,0.9905,0.017,0.004
synthetic2m,L22,ee,0.9852,0.018,0.006
synthetic2m,L2LN,ee,0.9724,0.042,0.02
synthetic2m,max,ee,0.9828,0.011,0.01
synthetic2m,mean,ee,0.9899,0.029,0.004
synthetic2m,minus,ee,0.9784,0.02,0.008
synthetic2m,multi,ee,0.9909,0.012,0.004
synthetic2m,plus,ee,0.983,0.022,0.008
synthetic2m,variance,ee,0.9883,0.02,0.006
synthetic2m,weightsum,ee,0.9881,0.021,0.005
synthetic32m,boxcox0,ee,0.9999,0.0,0.0
synthetic32m,divide,ee,0.9994,0.001,0.001
