index,method,data,interaction-type,columns,nodecount,errorbound,function,width,start,end,iterations,sqltime,memeoryuse
106,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,L2LN,500,158235950,658235949,0,6.931,25121076
107,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0,0.05,L2LN,450,158235950,658235949,0,7.092,25127692
108,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizeup,1I2I3I4I5,0,0.05,L2LN,500,158235950,658235949,0,7.118,25119956
109,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1,0,0.05,func1,500,158235950,658235949,0,3.685,24002312
110,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,L2LN,500,158235950,658235949,0,6.979,24000204
111,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0,0.05,L2LN,450,158235950,658235949,0,6.94,25116588
112,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0,0.05,L2LN,400,158235950,658235949,0,7.12,20976760
113,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,mean,400,158235950,658235949,0,4.026,25125412
114,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2,0,0.05,plus,400,158235950,658235949,0,3.375,24643268
115,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,max,400,158235950,658235949,0,4.359,24642452
116,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-zoomdown,1I2I3I4I5,0,0.05,max,400,1,999999999,0,8.274,29396012
117,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-resizeup,1I2I3I4I5,0,0.05,max,450,1,999999999,0,8.416,33676992
118,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0,0.05,L2,450,1,999999999,0,11.221,33679356
119,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-func,1,0,0.05,boxcox0,450,1,999999999,0,6.5,31366288
120,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,4,0,0.05,boxcox0,450,1,999999999,0,6.584,29283596
121,DUCK-F-AM4-THREAD-16,synthetic1b5v,interaction-change-column,5,0,0.05,boxcox0,450,1,999999999,0,6.518,28902804
