method,data,interaction-type,columns,errorBound,function,width,start,end,iterations,sqltime,memeoryuse,error,nodecount,ssim
ours-cpp-16,synthetic1b5v,interaction-change-column,4I2,0.0,minus,600,500220594,750220594,17,0.086,5405788,0.0,122465,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,2I5,0.0,minus,600,500220594,750220594,19,0.125,5405788,0.0,130402,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.0,boxcox0,600,500220594,750220594,0,0.086,5405788,0.0,24631,1.0
ours-cpp-16,synthetic1b5v,interaction-resizedown,1,0.0,boxcox0,550,500220594,750220594,0,0.071,5405788,0.0,22817,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,3,0.0,boxcox0,550,500220594,750220594,0,0.024,5405788,0.0,22817,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,L2,550,500220594,750220594,24,0.195,5405788,0.0,143945,1.0
ours-cpp-16,synthetic1b5v,interaction-paningright,1I2I3I4I5,0.0,L2,550,579031421,829031421,28,0.219,5405788,0.0,140617,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2,0.0,devide,550,579031421,829031421,9,0.072,5405788,0.0,90639,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,1I3,0.0,devide,550,579031421,829031421,10,0.067,5405788,0.0,82004,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,4I2,0.0,devide,550,579031421,829031421,4,0.064,5405788,0.0,69394,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1,0.0,func1,550,579031421,829031421,0,0.028,5405788,0.0,22789,1.0
ours-cpp-16,synthetic1b5v,interaction-change-column,3,0.0,func1,550,579031421,829031421,0,0.028,5405788,0.0,22789,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,weightsum,550,579031421,829031421,24,0.211,5405788,0.0,158385,1.0
ours-cpp-16,synthetic1b5v,interaction-zoomdown,1I2I3I4I5,0.0,weightsum,550,499999999,999999999,29,0.248,5405900,0.0,169453,1.0
ours-cpp-16,synthetic1b5v,interaction-paningleft,1I2I3I4I5,0.0,weightsum,550,426899561,926899561,32,0.265,5406040,0.0,171465,1.0
ours-cpp-16,synthetic1b5v,interaction-zoomdown,1I2I3I4I5,0.0,weightsum,550,0,999999999,26,0.292,5406668,0.0,183467,1.0
ours-cpp-16,synthetic1b5v,interaction-change-func,1I2I3I4I5,0.0,mean,550,0,999999999,52,0.331,5408780,0.0,250508,1.0
ours-cpp-16,synthetic1b5v,interaction-resizedown,1I2I3I4I5,0.0,mean,500,0,999999999,52,0.341,5409300,0.0,232730,1.0
