experiment,table,function,errorbound,width,time,sqltime,ssim,memory(GB)
OM3,sensordata,max,0,1000,0.774,0.163,1.0,0.5625267028808594
OM3,sensordata,max,0,1200,0.876,0.191,1.0,0.5662422180175781
OM3,sensordata,max,0,200,0.295,0.038,1.0,0.5556221008300781
OM3,sensordata,max,0,400,0.397,0.079,1.0,0.5564117431640625
OM3,sensordata,max,0,600,0.507,0.118,1.0,0.485931396484375
OM3,sensordata,max,0,800,0.686,0.136,1.0,0.5591354370117188
OM3,sensordata,mean,0,1000,0.808,0.156,0.9994,0.559783935546875
OM3,sensordata,mean,0,1200,0.86,0.187,0.9994,0.5662422180175781
OM3,sensordata,mean,0,200,0.384,0.044,0.9992,0.5555839538574219
OM3,sensordata,mean,0,400,0.397,0.075,0.9993,0.5564117431640625
OM3,sensordata,mean,0,600,0.523,0.118,0.9993,0.4857025146484375
OM3,sensordata,mean,0,800,0.659,0.141,0.9994,0.5603828430175781
OM3,sensordata,minus,0,1000,0.343,0.133,0.9943,0.40137481689453125
OM3,sensordata,minus,0,1200,0.408,0.162,0.9932,0.4024620056152344
OM3,sensordata,minus,0,200,0.107,0.034,0.9966,0.3994903564453125
OM3,sensordata,minus,0,400,0.15,0.055,0.9965,0.3997383117675781
OM3,sensordata,minus,0,600,0.237,0.094,0.9937,0.3300743103027344
OM3,sensordata,minus,0,800,0.304,0.113,0.9947,0.4012870788574219
OM3,sensordata,multi,0,1000,0.33,0.13,0.9424,0.40193939208984375
OM3,sensordata,multi,0,1200,0.398,0.159,0.9482,0.4024620056152344
OM3,sensordata,multi,0,200,0.105,0.032,0.8765,0.3994903564453125
OM3,sensordata,multi,0,400,0.149,0.055,0.9039,0.3997383117675781
OM3,sensordata,multi,0,600,0.233,0.094,0.9224,0.3296775817871094
OM3,sensordata,multi,0,800,0.301,0.113,0.9294,0.40216827392578125
OM3,sensordata,plus,0,1000,0.337,0.132,0.9696,0.40137481689453125
OM3,sensordata,plus,0,1200,0.394,0.157,0.9726,0.4024620056152344
OM3,sensordata,plus,0,200,0.126,0.041,0.9369,0.3994903564453125
OM3,sensordata,plus,0,400,0.164,0.063,0.9505,0.39992523193359375
OM3,sensordata,plus,0,600,0.239,0.111,0.9598,0.3278045654296875
OM3,sensordata,plus,0,800,0.298,0.108,0.9632,0.40216827392578125
OM3,sensordata,variance,0,1000,0.756,0.165,1.0,0.5626106262207031
OM3,sensordata,variance,0,1200,0.873,0.197,1.0,0.5662422180175781
OM3,sensordata,variance,0,200,0.315,0.045,1.0,0.5556182861328125
OM3,sensordata,variance,0,400,0.41,0.086,1.0,0.5564117431640625
OM3,sensordata,variance,0,600,0.515,0.119,1.0,0.487945556640625
OM3,sensordata,variance,0,800,0.67,0.134,1.0,0.5591354370117188
OM3,sensordata,weightsum,0,1000,0.757,0.163,0.9999,0.5626106262207031
OM3,sensordata,weightsum,0,1200,0.936,0.194,0.9999,0.5663261413574219
OM3,sensordata,weightsum,0,200,0.315,0.044,0.9999,0.5556526184082031
OM3,sensordata,weightsum,0,400,0.407,0.073,0.9999,0.5564117431640625
OM3,sensordata,weightsum,0,600,0.524,0.119,0.9999,0.4877815246582031
OM3,sensordata,weightsum,0,800,0.67,0.134,0.9999,0.5591392517089844
OM3,soccerdata,boxcox0,0,1000,0.158,0.097,1.0,0.6229438781738281
OM3,soccerdata,boxcox0,0,1200,0.205,0.12,1.0,0.4080810546875
OM3,soccerdata,boxcox0,0,200,0.043,0.024,1.0,0.605255126953125
OM3,soccerdata,boxcox0,0,400,0.077,0.037,1.0,0.6134109497070312
OM3,soccerdata,boxcox0,0,600,0.107,0.059,1.0,0.2815284729003906
OM3,soccerdata,boxcox0,0,800,0.137,0.079,1.0,0.6146278381347656
OM3,soccerdata,devide,0,1000,0.229,0.103,0.9161,0.4035987854003906
OM3,soccerdata,devide,0,1200,0.233,0.104,0.9285,0.3696861267089844
OM3,soccerdata,devide,0,200,0.04,0.021,0.8529,0.3696861267089844
OM3,soccerdata,devide,0,400,0.086,0.046,0.8919,0.377593994140625
OM3,soccerdata,devide,0,600,0.135,0.059,0.9057,0.3227500915527344
OM3,soccerdata,devide,0,800,0.224,0.086,0.9181,0.4017143249511719
OM3,soccerdata,func1,0,1000,0.176,0.099,1.0,0.5891876220703125
OM3,soccerdata,func1,0,1200,0.187,0.104,1.0,0.5976600646972656
OM3,soccerdata,func1,0,200,0.059,0.041,1.0,0.5634498596191406
OM3,soccerdata,func1,0,400,0.073,0.05,1.0,0.571502685546875
OM3,soccerdata,func1,0,600,0.11,0.072,1.0,0.49396514892578125
OM3,soccerdata,func1,0,800,0.132,0.076,1.0,0.5801925659179688
OM3,soccerdata,L2,0,1000,0.477,0.125,0.9094,0.40717315673828125
OM3,soccerdata,L2,0,1200,0.554,0.131,0.9163,0.4368782043457031
OM3,soccerdata,L2,0,200,0.106,0.033,0.8787,0.3995170593261719
OM3,soccerdata,L2,0,400,0.198,0.067,0.8884,0.4311103820800781
OM3,soccerdata,L2,0,600,0.281,0.097,0.8977,0.3596687316894531
OM3,soccerdata,L2,0,800,0.374,0.12,0.9052,0.4331398010253906
OM3,soccerdata,L22,0,1000,0.239,0.106,0.9993,0.4481544494628906
OM3,soccerdata,L22,0,1200,0.296,0.109,0.9992,0.355560302734375
OM3,soccerdata,L22,0,200,0.048,0.022,0.9999,0.40113067626953125
OM3,soccerdata,L22,0,400,0.092,0.043,0.9998,0.41715240478515625
OM3,soccerdata,L22,0,600,0.12,0.061,0.9997,0.36080169677734375
OM3,soccerdata,L22,0,800,0.176,0.084,0.9993,0.4335594177246094
OM3,soccerdata,L2LN,0,1000,0.477,0.125,0.8696,0.3915748596191406
OM3,soccerdata,L2LN,0,1200,0.542,0.132,0.8736,0.4358940124511719
OM3,soccerdata,L2LN,0,200,0.128,0.038,0.8732,0.4021339416503906
OM3,soccerdata,L2LN,0,400,0.213,0.061,0.866,0.4465446472167969
OM3,soccerdata,L2LN,0,600,0.289,0.098,0.865,0.3772468566894531
OM3,soccerdata,L2LN,0,800,0.385,0.116,0.8708,0.43316650390625
OM3,soccerdata,max,0,1000,0.483,0.132,0.9984,0.40714263916015625
OM3,soccerdata,max,0,1200,0.526,0.13,0.9983,0.4360084533691406
OM3,soccerdata,max,0,200,0.118,0.03,0.9993,0.4315338134765625
OM3,soccerdata,max,0,400,0.215,0.068,0.999,0.4623260498046875
OM3,soccerdata,max,0,600,0.297,0.09,0.9988,0.3596687316894531
OM3,soccerdata,max,0,800,0.386,0.122,0.9986,0.4331092834472656
OM3,soccerdata,mean,0,1000,0.462,0.128,0.8171,0.3915138244628906
OM3,soccerdata,mean,0,1200,0.562,0.132,0.8246,0.4368438720703125
OM3,soccerdata,mean,0,200,0.119,0.036,0.8002,0.4006500244140625
OM3,soccerdata,mean,0,400,0.218,0.061,0.7897,0.4467010498046875
OM3,soccerdata,mean,0,600,0.282,0.097,0.7993,0.3448066711425781
OM3,soccerdata,mean,0,800,0.385,0.119,0.8078,0.43310546875
OM3,soccerdata,minus,0,1000,0.232,0.104,0.9753,0.40279388427734375
OM3,soccerdata,minus,0,1200,0.232,0.102,0.9757,0.3696861267089844
OM3,soccerdata,minus,0,200,0.048,0.027,0.9768,0.3857917785644531
OM3,soccerdata,minus,0,400,0.084,0.045,0.975,0.38629150390625
OM3,soccerdata,minus,0,600,0.121,0.065,0.9751,0.3072090148925781
OM3,soccerdata,minus,0,800,0.214,0.102,0.9752,0.400909423828125
OM3,soccerdata,multi,0,1000,0.221,0.099,0.98,0.4035987854003906
OM3,soccerdata,multi,0,1200,0.228,0.104,0.9806,0.3696861267089844
OM3,soccerdata,multi,0,200,0.042,0.023,0.968,0.3696861267089844
OM3,soccerdata,multi,0,400,0.088,0.047,0.973,0.377593994140625
OM3,soccerdata,multi,0,600,0.138,0.061,0.9765,0.3211517333984375
OM3,soccerdata,multi,0,800,0.2,0.085,0.9795,0.4017143249511719
OM3,soccerdata,plus,0,1000,0.234,0.103,0.996,0.38716888427734375
