method,data,errorbound,function,width,iterations,time(s),error,nodecount,memory(GB)
our-cpp,soccerdata,0.01,plus,1200,1,0.046,0.0003,19469,0.253326416015625
our-cpp,soccerdata,0.01,minus,200,2,0.01,0.0062,4805,0.253326416015625
our-cpp,soccerdata,0.01,minus,400,2,0.018,0.0023,8517,0.253326416015625
our-cpp,soccerdata,0.01,minus,600,2,0.026,0.0019,12224,0.253326416015625
our-cpp,soccerdata,0.01,minus,800,1,0.033,0.0094,13499,0.253326416015625
our-cpp,soccerdata,0.01,minus,1000,2,0.042,0.0015,19139,0.253326416015625
our-cpp,soccerdata,0.01,minus,1200,2,0.05,0.0014,22280,0.253326416015625
our-cpp,soccerdata,0.01,multi,200,2,0.011,0.0021,5020,0.253326416015625
our-cpp,soccerdata,0.01,multi,400,2,0.018,0.0014,8947,0.253326416015625
our-cpp,soccerdata,0.01,multi,600,2,0.026,0.0012,12618,0.253326416015625
our-cpp,soccerdata,0.01,multi,800,1,0.032,0.0089,13659,0.253326416015625
our-cpp,soccerdata,0.01,multi,1000,1,0.039,0.008,16811,0.253326416015625
our-cpp,soccerdata,0.01,multi,1200,1,0.046,0.0069,19769,0.253326416015625
our-cpp,soccerdata,0.01,devide,200,60,0.028,0.0096,17977,0.253326416015625
our-cpp,soccerdata,0.01,devide,400,43,0.044,0.0096,25376,0.253326416015625
our-cpp,soccerdata,0.01,devide,600,34,0.057,0.0097,32521,0.253326416015625
our-cpp,soccerdata,0.01,devide,800,30,0.07,0.0094,39267,0.253326416015625
our-cpp,soccerdata,0.01,devide,1000,26,0.08,0.0099,43967,0.253326416015625
our-cpp,soccerdata,0.01,devide,1200,24,0.091,0.0095,50141,0.253326416015625
our-cpp,soccerdata,0.01,mean,200,4,0.03,0.0091,21842,0.253326416015625
our-cpp,soccerdata,0.01,mean,400,3,0.051,0.0096,35672,0.253326416015625
our-cpp,soccerdata,0.01,mean,600,3,0.074,0.0092,52248,0.253326416015625
our-cpp,soccerdata,0.01,mean,800,3,0.099,0.0092,68248,0.253326416015625
our-cpp,soccerdata,0.01,mean,1000,3,0.153,0.0093,82668,0.253326416015625
our-cpp,soccerdata,0.01,mean,1200,3,0.168,0.0092,97665,0.253326416015625
our-cpp,soccerdata,0.01,variance,200,1,0.032,0.002,13978,0.253326416015625
our-cpp,soccerdata,0.01,variance,400,1,0.06,0.0007,24921,0.253326416015625
our-cpp,soccerdata,0.01,variance,600,1,0.088,0.0008,37661,0.253326416015625
our-cpp,soccerdata,0.01,variance,800,1,0.116,0.0004,46869,0.253326416015625
our-cpp,soccerdata,0.01,variance,1000,1,0.137,0.0002,57446,0.253326416015625
our-cpp,soccerdata,0.01,variance,1200,1,0.16,0.0002,66956,0.253326416015625
our-cpp,soccerdata,0.01,max,200,1,0.026,0.0032,10057,0.253326416015625
our-cpp,soccerdata,0.01,max,400,1,0.051,0.0035,18120,0.253326416015625
our-cpp,soccerdata,0.01,max,600,1,0.073,0.0036,26522,0.253326416015625
our-cpp,soccerdata,0.01,max,800,1,0.094,0.0031,34530,0.253326416015625
our-cpp,soccerdata,0.01,max,1000,1,0.113,0.0031,42235,0.253326416015625
our-cpp,soccerdata,0.01,max,1200,1,0.133,0.003,49969,0.253326416015625
our-cpp,soccerdata,0.01,L2,200,2,0.032,0.0058,16201,0.253326416015625
our-cpp,soccerdata,0.01,L2,400,1,0.056,0.0079,24215,0.253326416015625
our-cpp,soccerdata,0.01,L2,600,1,0.08,0.0074,35566,0.253326416015625
our-cpp,soccerdata,0.01,L2,800,1,0.105,0.0071,45633,0.253326416015625
